ticker_A,ticker_B,entry_date,exit_date,direction,return_before_cost,return_after_cost,transaction_cost,converged,days_open,window_id,formation_start,trading_start
LNT,DUK,2017-12-08,2017-12-14,short_A_long_B,0.01646436900853332,0.006464369008533319,0.01,True,6,23,2016-12-01,2017-12-01
LNT,DUK,2018-01-23,2018-05-31,short_A_long_B,-0.03172196349162926,-0.04172196349162926,0.01,False,128,23,2016-12-01,2017-12-01
ED,PNW,2017-12-05,2018-05-31,short_A_long_B,0.018538758895270235,0.008538758895270235,0.01,False,177,23,2016-12-01,2017-12-01
LNT,DTE,2018-01-12,2018-05-02,long_A_short_B,0.08557412020364996,0.07557412020364997,0.01,True,110,23,2016-12-01,2017-12-01
LNT,DTE,2018-05-03,2018-05-31,short_A_long_B,0.021123073432074424,0.011123073432074424,0.01,False,28,23,2016-12-01,2017-12-01
LNT,CMS,2018-04-11,2018-05-31,short_A_long_B,0.02573163015099178,0.015731630150991778,0.01,False,50,23,2016-12-01,2017-12-01
ATO,ED,2017-12-12,2018-03-29,long_A_short_B,0.05621588000590794,0.046215880005907935,0.01,True,107,23,2016-12-01,2017-12-01
ATO,ED,2018-04-24,2018-05-31,short_A_long_B,-0.06288338674572469,-0.07288338674572468,0.01,False,37,23,2016-12-01,2017-12-01
JPM,PNC,2017-12-07,2017-12-28,long_A_short_B,0.014612133278121275,0.004612133278121275,0.01,True,21,23,2016-12-01,2017-12-01
JPM,PNC,2018-01-03,2018-01-17,short_A_long_B,0.020896851174911246,0.010896851174911246,0.01,True,14,23,2016-12-01,2017-12-01
JPM,PNC,2018-02-12,2018-03-07,short_A_long_B,0.02157372596317897,0.011573725963178969,0.01,True,23,23,2016-12-01,2017-12-01
JPM,PNC,2018-04-05,2018-05-31,short_A_long_B,-0.013038648805696162,-0.023038648805696164,0.01,False,56,23,2016-12-01,2017-12-01
LNT,ED,2018-04-02,2018-05-31,short_A_long_B,-0.01847911193840468,-0.028479111938404682,0.01,False,59,23,2016-12-01,2017-12-01
DTE,SRE,2017-12-05,2017-12-18,short_A_long_B,0.010388183011014629,0.0003881830110146287,0.01,True,13,23,2016-12-01,2017-12-01
DTE,SRE,2018-02-27,2018-05-31,long_A_short_B,0.03669731156830269,0.02669731156830269,0.01,False,93,23,2016-12-01,2017-12-01
ATO,PNW,2018-04-10,2018-05-31,short_A_long_B,-0.04434701181846967,-0.054347011818469675,0.01,False,51,23,2016-12-01,2017-12-01
KO,NXPI,2017-12-11,2018-03-13,long_A_short_B,-0.07538067979068874,-0.08538067979068874,0.01,True,92,23,2016-12-01,2017-12-01
KO,EQR,2017-12-06,2018-05-09,short_A_long_B,0.0655290024578874,0.055529002457887396,0.01,True,154,23,2016-12-01,2017-12-01
NWSA,NWS,2018-01-23,2018-06-29,short_A_long_B,0.005452904397017289,-0.004547095602982712,0.01,False,157,24,2017-01-03,2018-01-02
GOOGL,GOOG,2018-02-01,2018-02-13,short_A_long_B,0.008865091655032131,-0.001134908344967869,0.01,True,12,24,2017-01-03,2018-01-02
GOOGL,GOOG,2018-03-06,2018-03-09,short_A_long_B,0.00489278063710108,-0.005107219362898921,0.01,True,3,24,2017-01-03,2018-01-02
