ticker_A,ticker_B,entry_date,exit_date,direction,return_before_cost,return_after_cost,transaction_cost,converged,days_open,window_id,formation_start,trading_start
CMS,DTE,2023-03-15,2023-04-10,short_A_long_B,0.04686922844418007,0.036869228444180065,0.01,True,26,86,2022-03-01,2023-03-01
LNT,NI,2023-06-08,2023-08-31,short_A_long_B,0.04182830072444743,0.03182830072444743,0.01,True,84,86,2022-03-01,2023-03-01
AVB,EQR,2023-03-10,2023-08-31,short_A_long_B,0.0019961972068838207,-0.00800380279311618,0.01,False,174,86,2022-03-01,2023-03-01
HIG,TRV,2023-03-10,2023-07-06,long_A_short_B,0.05933633447007158,0.04933633447007158,0.01,True,118,86,2022-03-01,2023-03-01
HIG,TRV,2023-08-18,2023-08-31,short_A_long_B,-0.013556906667770652,-0.023556906667770654,0.01,False,13,86,2022-03-01,2023-03-01
GOOGL,GOOG,2023-06-30,2023-07-10,long_A_short_B,0.0067413576427635125,-0.0032586423572364877,0.01,True,10,87,2022-04-01,2023-04-03
GOOGL,GOOG,2023-08-31,2023-09-29,long_A_short_B,0.0010483853987890424,-0.008951614601210958,0.01,False,29,87,2022-04-01,2023-04-03
NWSA,NWS,2023-08-02,2023-09-29,long_A_short_B,-0.021028766840488267,-0.03102876684048827,0.01,False,58,87,2022-04-01,2023-04-03
AVB,EQR,2023-04-27,2023-09-29,short_A_long_B,-0.014311158487786968,-0.02431115848778697,0.01,False,155,87,2022-04-01,2023-04-03
AEE,AEP,2023-05-02,2023-05-15,short_A_long_B,0.04138437248429272,0.03138437248429272,0.01,True,13,87,2022-04-01,2023-04-03
AEE,AEP,2023-06-07,2023-09-29,short_A_long_B,-0.010668323162410176,-0.020668323162410178,0.01,False,114,87,2022-04-01,2023-04-03
RSG,WM,2023-04-28,2023-09-29,short_A_long_B,-0.06612368763449161,-0.07612368763449161,0.01,False,154,87,2022-04-01,2023-04-03
WEC,XEL,2023-06-14,2023-09-29,short_A_long_B,0.026129234123345224,0.016129234123345222,0.01,False,107,87,2022-04-01,2023-04-03
LNT,DTE,2023-06-22,2023-07-18,long_A_short_B,0.037451182825491536,0.027451182825491534,0.01,True,26,87,2022-04-01,2023-04-03
CMS,DUK,2023-04-06,2023-05-23,long_A_short_B,0.029321043859294016,0.019321043859294014,0.01,True,47,87,2022-04-01,2023-04-03
CMS,DUK,2023-06-06,2023-08-08,short_A_long_B,0.04216183356723191,0.03216183356723191,0.01,True,63,87,2022-04-01,2023-04-03
CMS,DUK,2023-08-09,2023-09-29,long_A_short_B,-0.03957290501860233,-0.049572905018602335,0.01,False,51,87,2022-04-01,2023-04-03
CNP,XEL,2023-06-02,2023-09-29,short_A_long_B,-0.023153201267800072,-0.033153201267800074,0.01,False,119,87,2022-04-01,2023-04-03
CB,TRV,2023-05-04,2023-07-20,long_A_short_B,0.04993365878624756,0.03993365878624756,0.01,True,77,87,2022-04-01,2023-04-03
CB,TRV,2023-07-27,2023-09-29,short_A_long_B,-0.05001149848231823,-0.06001149848231823,0.01,False,64,87,2022-04-01,2023-04-03
CMS,EXC,2023-09-01,2023-09-29,long_A_short_B,0.013850958077359143,0.003850958077359143,0.01,False,28,87,2022-04-01,2023-04-03
AEP,ETR,2023-07-12,2023-07-19,short_A_long_B,0.05133452800958227,0.04133452800958227,0.01,True,7,87,2022-04-01,2023-04-03
AEP,ETR,2023-09-18,2023-09-29,long_A_short_B,0.0011299094262766651,-0.008870090573723335,0.01,False,11,87,2022-04-01,2023-04-03
AEE,DUK,2023-05-15,2023-06-13,long_A_short_B,0.03545225760307713,0.02545225760307713,0.01,True,29,87,2022-04-01,2023-04-03
AEE,DUK,2023-08-09,2023-09-29,long_A_short_B,-0.030508293357621508,-0.04050829335762151,0.01,False,51,87,2022-04-01,2023-04-03
AEE,ES,2023-05-02,2023-05-15,short_A_long_B,0.05068227143880677,0.04068227143880677,0.01,True,13,87,2022-04-01,2023-04-03
AEE,ES,2023-05-30,2023-09-29,short_A_long_B,-0.0830950802615662,-0.0930950802615662,0.01,False,122,87,2022-04-01,2023-04-03
