month,dm_ret_before,dm_ret_after,rf_rate,cointegration_ret_before,cointegration_ret_after,copula_ret_before,copula_ret_after
2020-11-01,0.006866790707110754,0.0038888895337891075,6.605692822466703e-05,-0.023639371215625076,-0.02720789894370637,0.00433659453433216,0.00037439839661812985
2020-12-01,-0.0011462711015000294,-0.003118627287329064,6.149237700888003e-05,-0.023568780385320166,-0.026066376745449846,-0.00012571481215622177,-0.0037554732111804924
2021-01-01,0.00482076908624673,0.002363315419646223,5.989051926875477e-05,-0.01784004479452188,-0.020629439950455734,0.004010035569145216,0.0001961244763297882
2021-02-01,0.0029328057053565316,0.0010271165344302136,2.670599354403473e-05,-0.0157275378889015,-0.01800478517397727,0.0032838543541025577,2.060768546520546e-05
2021-03-01,-0.0009186715666607467,-0.003027329834181167,1.5940017593689102e-05,-0.017148314190544113,-0.019975119306719125,0.0020286164438244954,-0.0012995919886204877
2021-04-01,-0.003723236685907754,-0.0056129222705791175,8.88834896550783e-06,-0.010443478709117908,-0.012387507652396755,-0.0019655086052316854,-0.004625931608640665
2021-05-01,-0.002791710183608676,-0.0046327356338499125,5.583121277363823e-06,-0.010076733830252477,-0.012497570886181864,-0.002228194238581995,-0.005674626172924025
2021-06-01,-0.0028977437956714002,-0.004459065458991896,2.2117809230690824e-05,-0.005247404777507995,-0.007448613322060791,-0.0023682469973176213,-0.005922048961661802
2021-07-01,-0.0037666208022093203,-0.0054396634934879345,3.5071985887480395e-05,-0.005448024628947181,-0.007903157455401022,-0.0030277695389651894,-0.005881822578055882
2021-08-01,-0.0036471662785376798,-0.005233582307800993,3.7907927798846494e-05,-0.006959518878535481,-0.009677326726116578,-0.003851239127354347,-0.006788180540289194
2021-09-01,-0.0007392640407631146,-0.002880969409756516,2.658291507939836e-05,0.0006547493931397022,-0.0020566052953441658,-0.0016807258300450927,-0.004845482358082099
2021-10-01,-0.0013668908231965176,-0.003486102755822347,3.582546662839192e-05,-0.008212744608606347,-0.011214281828195083,0.0012447438446560168,-0.00209145305004344
2021-11-01,-0.00042142410239694796,-0.002535692249846217,3.5111616421446e-05,0.000590832614954411,-0.002317368955587753,-0.00040615647181451754,-0.0035187899273230985
2021-12-01,0.001030642710746432,-0.0012359512301625194,3.874057699513524e-05,-0.0032926639536345463,-0.005992767649284608,-0.0009763841284473332,-0.003587487938431022
2022-01-01,-0.00015871149753756696,-0.0018974178706181578,0.00010896395581984075,-0.0017375233951801544,-0.004483605680555028,0.0002894503866328806,-0.0024556608356117904
2022-02-01,0.0019786000189344483,-0.00031311158952869954,0.00024501798893405394,0.00010489188905255196,-0.0031947110413295733,0.0016007150187653172,-0.0014499348061933635
2022-03-01,0.002795717971890637,0.00036399128579308704,0.00034632133371117194,-0.017510126141150335,-0.021305731499410323,0.0014640139038435823,-0.001789251528330459
2022-04-01,0.0015575150505965677,-0.000604120806093654,0.0006060163002996167,-0.00629952774150466,-0.009740975318519843,0.00046789724034245465,-0.002635629028585275
2022-05-01,0.002747628113367872,0.0004257318240921372,0.0007774143304974945,-0.004296246619554096,-0.006881835527956491,0.002185980043785843,-0.0011698596279106847
2022-06-01,9.901005334050786e-05,-0.0015775545505189146,0.001193281549375813,0.00527286704042917,0.002472676340329758,0.001917351360471553,-0.0012504279004572122
2022-07-01,0.0006980534854038235,-0.0008279677518762069,0.0017859670509419944,0.0034406535389670772,0.0004170330922843698,0.006244570094174943,0.0028110463877160517
2022-08-01,0.001747377477073749,0.00010973013620004858,0.0021249724113926107,0.004351197898546435,0.0017381727150596901,0.007904463431981687,0.0037217053981202348
2022-09-01,0.002830863614913772,0.0011726512627395688,0.0025237433710793003,0.0075146158774697346,0.005130242467667802,0.005613018046689616,0.0029186202336133143
2022-10-01,0.0019535204294835605,8.354192515432639e-05,0.0029846836241837,-0.00860835067109497,-0.011767635713855485,0.00798234780040413,0.004567736044908638
2022-11-01,0.0014719655958134756,-0.0018981979368924418,0.0033574199773971003,-0.004678667239193627,-0.00800468212618081,0.010733552495743556,0.00592830709367317
2022-12-01,0.0019098324812695218,-0.00040401256660317414,0.0034357753834162,-0.0010638777188310166,-0.0032215164344278346,0.006751839303761259,0.002541745357753878
