ticker_A,ticker_B,entry_date,exit_date,direction,return_before_cost,return_after_cost,transaction_cost,converged,days_open,window_id,formation_start,trading_start,beta
PSA,YUM,2020-07-27,2020-07-30,short_B_long_A,0.10503813433704484,0.09503813433704485,0.01,True,3,49,2019-02-01,2020-02-03,0.46767673191547665
AVB,TMUS,2020-02-11,2020-07-31,short_B_long_A,-0.6378185298165078,-0.6478185298165078,0.01,False,171,49,2019-02-01,2020-02-03,0.4023200702504047
CCI,XEL,2020-02-11,2020-03-09,long_B_short_A,0.015824009534297342,0.005824009534297342,0.01,True,27,49,2019-02-01,2020-02-03,0.44774218289678164
CCI,XEL,2020-03-12,2020-07-31,long_B_short_A,0.043199314270917735,0.03319931427091773,0.01,False,141,49,2019-02-01,2020-02-03,0.44774218289678164
ETN,NDSN,2020-02-18,2020-03-23,long_B_short_A,0.45992153733104923,0.4499215373310492,0.01,True,34,49,2019-02-01,2020-02-03,1.9953316673833437
ETN,NDSN,2020-03-25,2020-03-27,long_B_short_A,0.10353502051419876,0.09353502051419876,0.01,True,2,49,2019-02-01,2020-02-03,1.9953316673833437
ETN,NDSN,2020-04-07,2020-07-31,short_B_long_A,0.043437940319820095,0.03343794031982009,0.01,False,115,49,2019-02-01,2020-02-03,1.9953316673833437
PCAR,PPG,2020-02-12,2020-07-31,long_B_short_A,-0.3778186671785395,-0.3878186671785395,0.01,False,170,49,2019-02-01,2020-02-03,2.28820213557338
AMT,AWK,2020-02-03,2020-02-11,short_B_long_A,0.0953089412468233,0.08530894124682331,0.01,True,8,49,2019-02-01,2020-02-03,0.5505182077370844
AMT,AWK,2020-03-06,2020-03-12,short_B_long_A,0.1810272795680854,0.1710272795680854,0.01,True,6,49,2019-02-01,2020-02-03,0.5505182077370844
AMT,AWK,2020-03-16,2020-03-19,short_B_long_A,0.08724211770885695,0.07724211770885696,0.01,True,3,49,2019-02-01,2020-02-03,0.5505182077370844
AMT,AWK,2020-03-20,2020-03-27,long_B_short_A,0.13436690059982792,0.12436690059982793,0.01,True,7,49,2019-02-01,2020-02-03,0.5505182077370844
