Date,Daily_RF
2019-07-05,8.492182808050863e-05
2019-07-08,8.550446545574353e-05
2019-07-09,8.616468915567665e-05
2019-07-10,8.363971475855436e-05
2019-07-11,8.239605642335057e-05
2019-07-12,8.208507654194896e-05
2019-07-15,8.189070989983449e-05
2019-07-16,8.259039841584936e-05
2019-07-17,8.142417643863809e-05
2019-07-18,7.909070793199469e-05
2019-07-19,7.909070793199469e-05
2019-07-22,7.955751468413652e-05
2019-07-23,7.986868262244151e-05
2019-07-24,8.014093695329905e-05
2019-07-25,8.091870662707557e-05
2019-07-26,8.103535991166311e-05
2019-07-29,8.052984076822867e-05
2019-07-30,8.014093695329905e-05
2019-07-31,7.975199517495923e-05
2019-08-01,7.975199517495923e-05
2019-08-02,7.85849419846496e-05
2019-08-05,7.675586737843076e-05
2019-08-06,7.839039988111196e-05
2019-08-07,7.733970927925604e-05
2019-08-08,7.741754685586244e-05
2019-08-09,7.663909337174424e-05
2019-08-12,7.578261512319884e-05
2019-08-13,7.683372100175667e-05
2019-08-14,7.500384211422961e-05
2019-08-15,7.247177807245819e-05
2019-08-16,7.169235295667598e-05
2019-08-19,7.286143113827137e-05
2019-08-20,7.469228935641503e-05
2019-08-21,7.578261512319884e-05
2019-08-22,7.617194455389331e-05
2019-08-23,7.508172533676749e-05
2019-08-26,7.597728459396436e-05
2019-08-27,7.636659500387388e-05
2019-08-28,7.624980958764738e-05
2019-08-29,7.624980958764738e-05
2019-08-30,7.597728459396436e-05
2019-09-03,7.508172533676749e-05
2019-09-04,7.488701210456306e-05
2019-09-05,7.547112325712035e-05
2019-09-06,7.508172533676749e-05
2019-09-09,7.500384211422961e-05
2019-09-10,7.519854963722317e-05
2019-09-11,7.519854963722317e-05
2019-09-12,7.44975570912132e-05
2019-09-13,7.469228935641503e-05
2019-09-16,7.644445623400387e-05
2019-09-17,7.617194455389331e-05
2019-09-18,7.391330318529121e-05
2019-09-19,7.403016174922783e-05
2019-09-20,7.274453829064775e-05
2019-09-23,7.254971080516981e-05
2019-09-24,7.391330318529121e-05
2019-09-25,7.254971080516981e-05
2019-09-26,6.962615009076245e-05
2019-09-27,6.806604259845805e-05
2019-09-30,6.962615009076245e-05
2019-10-01,6.896317997640011e-05
2019-10-02,6.826108944557596e-05
2019-10-03,6.552955966210305e-05
2019-10-04,6.51391888721875e-05
2019-10-07,6.584182968927266e-05
2019-10-08,6.51391888721875e-05
2019-10-09,6.408499758525643e-05
2019-10-10,6.428023941107419e-05
2019-10-11,6.388974619153664e-05
2019-10-14,6.369448522902665e-05
2019-10-15,6.369448522902665e-05
2019-10-16,6.357732312700648e-05
2019-10-17,6.396784696605096e-05
2019-10-18,6.396784696605096e-05
2019-10-21,6.396784696605096e-05
2019-10-22,6.357732312700648e-05
2019-10-23,6.357732312700648e-05
2019-10-24,6.388974619153664e-05
2019-10-25,6.396784696605096e-05
2019-10-28,6.318676100702803e-05
2019-10-29,6.279616059834403e-05
2019-10-30,6.279616059834403e-05
2019-10-31,5.900534439695626e-05
2019-11-01,5.849702224303144e-05
2019-11-04,5.920083529198372e-05
2019-11-05,5.978725043287447e-05
2019-11-06,5.9669973377252106e-05
2019-11-07,5.978725043287447e-05
